exchangeAddress,exchangeName,Chain
0xd1560b3984b7481cd9a8f40435a53c860187174d,COSS.io: Old Warm Wallet,Ethereum
0x43f07efe28e092a0fe4ec5b5662022b461ffac80,COSS.io: Warm Wallet,Ethereum
0x521db06bf657ed1d6c98553a70319a8ddbac75a3,CREX24,Ethereum
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,Ethereum
0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,Ethereum
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,Ethereum
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,Ethereum
0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,Ethereum
0x2101e480e22c953b37b9d0fe6551c1354fe705e6,DMEX,Ethereum
0xf1c525a488a848b58b95d79da48c21ce434290f7,Eidoo,Ethereum
0x608f94df1c1d89ea13e5984d7bf107df137a6541,Eigen Fx,Ethereum
0xeb9ebf2c624ebee42e0853da6443ddc6c8020de7,Eigen Fx 2,Ethereum
0x8d76166c22658a144c0211d87abf152e6a2d9d95,Eterbase,Ethereum
0xd3808c5d48903be1490989f3fce2a2b3890e8eb6,Exchange A,Ethereum
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,Ethereum
0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo 2,Ethereum
0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,Faa.st,Ethereum
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,Ethereum
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,Ethereum
0x14301566b9669b672878d86ff0b1d18dd58054e9,Flata.Exchange,Ethereum
0x91e18ee76483fa2ec5cfe2959df46673c2565be0,Flybit,Ethereum
0x0021845f4c2604c58f9ba5b7bff58d16a2ab372c,Folgory Exchange,Ethereum
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,Ethereum
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,Ethereum
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Ethereum
0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io 2,Ethereum
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,Ethereum
0xd793281182a0e3e023116004778f45c29fc14f19,Gate.io: Contract,Ethereum
0x9f5ca0012b9b72e8f3db57092a6f26bf4f13dc69,GBX,Ethereum
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,Ethereum
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini 2,Ethereum
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,Ethereum
0x5f65f7b609678448494de4c87521cdf6cef1e932,Gemini 4,Ethereum
0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,Gemini 5,Ethereum
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,Gemini 6,Ethereum
0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini 7,Ethereum
